Gene stable ID,Gene description,Gene type,Gene name
ENSG00000245849,RAD51 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48621],lncRNA,RAD51-AS1
ENSG00000291039,dehydrogenase/reductase 4 like 1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:19732],lncRNA,DHRS4L1
ENSG00000306487,"novel transcript, sense intronic to SLC45A4",lncRNA,
ENSG00000306491,novel transcript,lncRNA,
ENSG00000152583,SPARC like 1 [Source:HGNC Symbol;Acc:HGNC:11220],protein_coding,SPARCL1
ENSG00000306504,novel transcript,lncRNA,
ENSG00000285615,novel transcript,lncRNA,
ENSG00000223993,long intergenic non-protein coding RNA 2647 [Source:HGNC Symbol;Acc:HGNC:54131],lncRNA,LINC02647
ENSG00000305061,novel transcript,lncRNA,
ENSG00000236403,novel transcript,lncRNA,
ENSG00000248487,abhydrolase domain containing 14A [Source:HGNC Symbol;Acc:HGNC:24538],protein_coding,ABHD14A
ENSG00000296959,novel transcript,lncRNA,
ENSG00000306534,"novel transcript, sense intronic to SAMD12",lncRNA,
ENSG00000299777,novel transcript,lncRNA,
ENSG00000306541,novel transcript,lncRNA,
ENSG00000235180,long intergenic non-protein coding RNA 601 [Source:HGNC Symbol;Acc:HGNC:43916],lncRNA,LINC00601
ENSG00000259542,novel transcript,lncRNA,
ENSG00000306554,novel transcript,lncRNA,
ENSG00000225885,"novel transcript, antisense to SAMD12",lncRNA,
ENSG00000259363,novel transcript,lncRNA,
ENSG00000261239,ankyrin repeat domain 26 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32955],transcribed_unprocessed_pseudogene,ANKRD26P1
ENSG00000299788,novel transcript,lncRNA,
ENSG00000299798,"novel transcript, antisense to OLAH",lncRNA,
ENSG00000299806,"novel transcript, antisense to ADAM12",lncRNA,
ENSG00000299823,novel transcript,lncRNA,
ENSG00000234740,novel transcript,lncRNA,
ENSG00000299824,novel transcript,lncRNA,
ENSG00000306558,novel transcript,lncRNA,
ENSG00000299835,novel transcript,lncRNA,
ENSG00000253669,growth arrest associated lncRNA 1 [Source:HGNC Symbol;Acc:HGNC:53461],lncRNA,GASAL1
ENSG00000180767,carbohydrate sulfotransferase 13 [Source:HGNC Symbol;Acc:HGNC:21755],protein_coding,CHST13
ENSG00000299869,novel transcript,lncRNA,
ENSG00000199448,"RNA, U6 small nuclear 845, pseudogene [Source:HGNC Symbol;Acc:HGNC:47808]",snRNA,RNU6-845P
ENSG00000261356,"RAB31, member RAS oncogene family (RAB31) pseudogene",processed_pseudogene,
ENSG00000290644,novel transcript,lncRNA,
ENSG00000299883,novel transcript,lncRNA,
ENSG00000260251,zinc finger protein 161 homolog (mouse) (ZFP161) pseudogene,unprocessed_pseudogene,
ENSG00000299899,novel transcript,lncRNA,
ENSG00000299914,novel transcript,lncRNA,
ENSG00000171241,SHC binding and spindle associated 1 [Source:HGNC Symbol;Acc:HGNC:29547],protein_coding,SHCBP1
ENSG00000203876,ADD3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48682],lncRNA,ADD3-AS1
ENSG00000306575,novel transcript,lncRNA,
ENSG00000290354,novel transcript,lncRNA,
ENSG00000163507,cellular inhibitor of PP2A [Source:HGNC Symbol;Acc:HGNC:29302],protein_coding,CIP2A
ENSG00000306590,novel transcript,lncRNA,
ENSG00000306591,novel transcript,lncRNA,
ENSG00000308027,"novel transcript, antisense to DHRS4",lncRNA,
