cl_id	cl_name	cl_idx
CL:0002445	Ly49D-negative natural killer cell, mouse	1533
CL:0002446	Ly49CI-negative natural killer cell, mouse	1534
CL:0002447	CD94-negative natural killer cell, mouse	1535
CL:0002448	Ly49H-negative natural killer cell, mouse	1536
CL:0002449	CD94-positive Ly49CI-positive natural killer cell, mouse	1537
CL:0002454	CD4-negative, CD8-alpha-negative, CD11b-positive dendritic cell	-1542
CL:0002455	CD8-alpha-negative plasmacytoid dendritic cell	1543
CL:0002456	CD8-alpha-positive plasmacytoid dendritic cell	1544
CL:0002457	epidermal Langerhans cell	1545
CL:0002458	langerin-positive dermal dendritic cell	1546
CL:0002459	langerin-negative dermal dendritic cell	1547
CL:0002460	CD8-alpha-negative thymic conventional dendritic cell	1548
CL:0002461	CD103-positive dendritic cell	-1549
CL:0002462	adipose dendritic cell	-1550
CL:0002463	SIRPa-positive adipose dendritic cell	1551
CL:0002464	SIRPa-negative adipose dendritic cell	1552
CL:0002465	CD11b-positive dendritic cell	-1553
CL:0002466	small intestine serosal dendritic cell	1554
CL:0002467	Gr1-high myeloid suppressor cell	1555
